player_name,matches_played,total_runs,total_100s
Jos Buttler,178,6361,8
Faf du Plessis,181,5929,7
Suryakumar Yadav,171,5408,6
Shubman Gill,115,4003,6
James Vince,195,6178,6
Rilee Rossouw,170,4153,6
Babar Azam,147,5429,6
Usman Khan,95,2557,6
Alex Hales,224,6564,5
Sanju Samson,137,3903,5
Glenn Maxwell,192,4619,5
Pathum Nissanka,110,3319,4
Abhishek Sharma,127,3641,4
Andre Fletcher,146,3898,4
Ruturaj Gaikwad,100,3475,4
Philip Salt,191,5033,4
Rinku Singh,115,3288,4
William Jacks,157,4316,4
Swastik Chikara,36,1388,4
Chris Lynn,112,3654,4
