season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score,cluster_label,pca_1,pca_2
2020/21,16,Irfan Pathan,India,Left-hand bat,Left-arm medium-fast,4,54,61,0,3.5,39,36.29523333333333,21.98965419475082,13.5,88.52459016393442,inf,11.142857142857142,4.54759311421419,4,-0.12092218292885296,-0.012137792192788533
2020/21,20,Shaun Marsh,Australia,Left-hand bat,Slow left-arm orthodox,12,312,246,0,0.0,0,488.6191,54.838226928459285,26.0,126.82926829268293,inf,0.0,1.8235454645617508,2,1.8904065894518765,0.255068998964905
2020/21,27,Christopher Gayle,West Indies,Left-hand bat,Right-arm offbreak,3,29,37,0,0.0,0,29.45,10.00504039638688,9.666666666666666,78.37837837837837,inf,0.0,9.994962142892795,2,0.5480914583891798,0.9560872788962067
2020/21,47,Virat Kohli,India,Right-hand bat,Right-arm medium,8,365,251,0,0.0,0,618.0327,62.86914292468211,45.625,145.4183266932271,inf,0.0,1.5906054281637183,2,3.132212623121814,-0.17288685501974976
2020/21,52,Dale Steyn,South Africa,Right-hand bat,Right-arm Fast,2,1,5,2,8.1,56,65.34024390243903,29.81144942975626,0.5,20.0,28.0,6.913580246913581,3.3544159010324783,0,-1.6489984269983502,0.1323554235069709
2020/21,79,Manpreet Gony,India,Right-hand bat,Right-arm medium-fast,1,0,0,1,4.0,42,18.5,,0.0,0.0,42.0,10.5,0.0,0,-1.9164513189508907,0.3238150077044808
2020/21,88,Faf du Plessis,South Africa,Right-hand bat,Right-arm Leg-Break,3,121,88,0,0.0,0,188.1808,44.113413109997886,40.333333333333336,137.5,inf,0.0,2.2668842184268883,2,2.7702925181345095,-0.02847493301366991
2020/21,107,Mohammad Hafeez,Pakistan,Right-hand bat,Right-arm offbreak,4,176,119,0,1.0,7,306.409,81.80120206050356,44.0,147.89915966386556,inf,7.0,1.2224759231048443,2,2.4517543672889706,-0.6467488775616574
2020/21,126,Rohit Sharma,India,Right-hand bat,Right-arm offbreak,3,91,63,0,0.0,0,172.7096,66.72777588420982,30.33333333333333,144.44444444444443,inf,0.0,1.4986263017896206,2,2.2868031454856568,0.06506986362229131
2020/21,142,Shikhar Dhawan,India,Left-hand bat,Right-arm offbreak,4,85,75,0,0.0,0,124.9411,39.29805220375644,21.25,113.33333333333331,inf,0.0,2.544655380920919,2,1.5077773638219312,0.42962197813828007
2020/21,152,Ravindra Jadeja,India,Left-hand bat,Slow left-arm orthodox,1,44,23,0,0.0,0,91.172,,44.0,191.30434782608697,inf,0.0,0.0,2,3.4592627205449222,-0.48262259346363967
2020/21,153,Munaf Patel,India,Right-hand bat,Right-arm medium-fast,4,1,8,3,13.1,97,73.31363170731707,10.320327063473012,0.25,12.5,32.333333333333336,7.404580152671756,9.689615395420216,0,-1.7050571637647107,0.35671997447900694
2020/21,156,Shahid Afridi,Pakistan,Right-hand bat,Right-arm Leg-Break,3,70,30,0,9.0,58,199.0086,93.53381175446664,23.33333333333333,233.33333333333331,inf,6.444444444444445,1.0691320937770354,2,2.1400859344668484,-0.8741845037474426
2020/21,161,Dwayne Bravo,West Indies,Right-hand bat,Right-arm medium,3,6,22,3,12.0,82,72.4412,22.905392068535598,2.0,27.27272727272727,27.33333333333333,6.833333333333333,4.3657842529299815,0,-1.5076753920193953,0.06490099634122583
2020/21,172,Shoaib Malik,Pakistan,Right-hand bat,Right-arm offbreak,10,203,168,2,9.0,60,347.0194,39.687252149496686,20.3,120.83333333333331,30.0,6.666666666666667,2.5197007750325744,1,0.40213464845456864,-0.7974598749913937
2020/21,182,Ross Taylor,New Zealand,Right-hand bat,Right-arm offbreak,1,0,4,0,0.0,0,0.0,,0.0,0.0,inf,0.0,0.0,0,-0.6731200038971001,1.480283929378877
2020/21,198,Manish Pandey,India,Right-hand bat,Right-arm medium,1,2,8,0,0.0,0,0.5,,2.0,25.0,inf,0.0,0.0,0,-0.33829313055316307,1.2808526280720198
2020/21,217,Ben Cutting,Australia,Right-hand bat,Right-arm medium-fast,15,280,179,4,29.0,222,606.6015666666667,34.72021776944376,18.666666666666668,156.4245810055866,55.5,7.655172413793103,2.8801662669295545,4,1.0020604428934619,-0.4485135070721305
2020/21,219,Ben Laughlin,Australia,Right-hand bat,Right-arm medium-fast,8,8,11,1,29.1,259,55.27157204301075,7.54926397650451,1.0,72.72727272727273,259.0,8.900343642611684,13.246324451129128,4,2.7933609046968377,5.458782680395959
2020/21,223,Steven Smith,Australia,Right-hand bat,Right-arm Leg-Break,3,82,70,0,0.0,0,138.7266,22.63559633232577,27.33333333333333,117.14285714285715,inf,0.0,4.417820433437866,2,1.872310095287606,0.33989427840694025
2020/21,224,Moises Henriques,Australia,Right-hand bat,Right-arm fast-medium,8,216,140,3,5.0,31,464.361,39.69199377750595,27.0,154.2857142857143,10.333333333333334,6.2,2.519399770153937,1,0.7598438438196202,-1.576932938046111
2020/21,232,Tom Cooper,Australia,Right-hand bat,Right-arm offbreak,5,61,66,0,0.0,0,82.363,13.984486804491612,12.2,92.42424242424242,inf,0.0,7.150780818634078,2,0.8174341066186619,0.7791144360754587
2020/21,233,Callum Ferguson,Australia,Right-hand bat,Right-arm medium,15,405,327,0,0.0,0,629.3934,32.71584896675354,27.0,123.8532110091743,inf,0.0,3.056622498215525,2,1.9165236747641587,0.27880753364298544
2020/21,234,Daniel Christian,Australia,Right-hand bat,Right-arm fast-medium,16,272,149,15,45.2,399,975.695809992132,51.71189781343674,17.0,182.5503355704698,26.6,8.827433628318584,1.9337909500203287,1,0.5283821254781668,-1.403866644926348
2020/21,250,Aaron Finch,Australia,Right-hand bat,Slow left-arm orthodox,20,411,333,0,0.0,0,665.8862,38.26971103448591,20.55,123.42342342342344,inf,0.0,2.613032534002862,2,1.5603418630401769,0.373119440100304
2020/21,262,Steve O Keefe,Australia,Right-hand bat,Slow left-arm orthodox,14,18,22,15,49.0,340,357.3698,25.72679666757645,1.2857142857142858,81.81818181818183,22.666666666666668,6.938775510204081,3.886997720397512,1,-1.1469745158687499,-0.42204766124091814
2020/21,274,Martin Guptill,New Zealand,Right-hand bat,Right-arm offbreak,13,403,264,0,0.0,0,840.3193,61.56824201008741,31.0,152.65151515151516,inf,0.0,1.6242139897971406,2,2.3970932613165057,0.0013655410634092243
2020/21,278,Tim Southee,New Zealand,Right-hand bat,Right-arm medium-fast,12,23,19,21,44.1,351,551.2315406504065,23.396762717371,1.9166666666666667,121.05263157894736,16.714285714285715,7.959183673469387,4.274095575015371,1,-0.95523202916835,-0.9065749586235248
2020/21,286,Kane Richardson,Australia,Right-hand bat,Right-arm fast-medium,16,35,26,22,54.5,461,546.8679582994488,23.00443060426915,2.1875,134.6153846153846,20.954545454545453,8.458715596330276,4.346988704925479,1,-0.7863106898502485,-0.9310827026859472
2020/21,289,Jon Holland,Australia,Right-hand bat,Slow left-arm orthodox,1,5,5,0,2.0,20,-4.0,,5.0,100.0,inf,10.0,0.0,4,-0.37573442503664245,0.04793553874233856
2020/21,293,Johan Botha,South Africa,Right-hand bat,Right-arm offbreak,5,2,2,3,11.0,86,51.333333333333336,19.62622961469902,0.4,100.0,28.666666666666668,7.818181818181818,5.095222157449194,1,-1.003223781254267,-0.4254362783252569
2020/21,321,Fidel Edwards,West Indies,Right-hand bat,Right-arm fast-medium,2,1,2,1,6.0,48,17.75,18.2079996155536,0.5,50.0,48.0,8.0,5.492091504361534,0,-1.119544930930842,0.3796258989392136
2020/21,331,Mashrafe Mortaza,Bangladesh,Right-hand bat,Right-arm fast-medium,4,13,11,7,16.0,129,174.41649999999998,51.36842205800337,3.25,118.1818181818182,18.428571428571427,8.0625,1.946721273374596,1,-0.8832404899747742,-0.9079529002805906
2020/21,332,Angelo Mathews,Sri Lanka,Right-hand bat,Right-arm medium,12,104,127,5,20.1,162,188.5814290322581,19.32948867017926,8.666666666666666,81.88976377952756,32.4,8.059701492537313,5.173442593661357,1,-0.6687360371988186,-0.3523886934166119
2020/21,360,Bhuvneshwar Kumar,India,Right-hand bat,Right-arm medium,5,0,0,4,18.0,115,110.5,22.17867782353132,0.0,0.0,28.75,6.388888888888889,4.508835053003077,0,-1.7988684254189018,0.34691590616396834
2020/21,371,Sudeep Tyagi,India,Right-hand bat,Right-arm medium,2,0,0,0,2.0,21,-19.0,2.1213203435596424,0.0,0.0,inf,10.5,47.14045207910317,0,-1.6625315221328205,1.4864094634098515
2020/21,380,Mohammad Ashraful,Bangladesh,Right-hand bat,Right-arm offbreak,5,57,62,0,0.0,0,66.36500000000001,13.226385258263122,11.4,91.93548387096774,inf,0.0,7.560644730012342,2,0.7686624747698314,0.8008600890673038
